entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
cdec_ISB,cdec_daily,daily,ISB,CDEC KRI full natural flow,sacsma_15cdec_gis,,2074.0,,35.639,-118.484,cdec_stations:KRI,1987-05-31,1987-10-01,2018-12-31,11390,cdec15/gage.csv:flow,train_only
cdec_MIL,cdec_daily,daily,MIL,CDEC SBF full natural flow,arcs,I_MLRTN,1675.0,,36.999167,-119.706111,cdec_stations:SBF,1987-05-31,1987-10-01,2018-12-31,11220,cdec15/gage.csv:flow,
cdec_MKM,cdec_daily,daily,MKM,CDEC MKM full natural flow,arcs,I_COL003;I_MFM008;I_MOK079;I_NFM010;I_SFM005;I_SLTSP;I_TGC003;I_UBEAR,544.0,,38.256861,-120.850771,cdec_stations:MKM,1986-04-01,1988-10-01,2018-12-31,10251,cdec15/gage.csv:flow,outlet_below_delineation
cdec_MRC,cdec_daily,daily,MRC,CDEC MRC full natural flow,arcs,I_MCLRE,1061.0,,37.522,-120.331,cdec_stations:MRC,1988-01-01,1988-10-01,2018-12-31,11033,cdec15/gage.csv:flow,outlet_below_delineation
cdec_NHG,cdec_daily,daily,NHG,CDEC NHG full natural flow,arcs,I_NHGAN,363.0,,38.152,-120.812,cdec_stations:NHG,1987-05-01,1987-10-01,2018-12-31,9315,cdec15/gage.csv:flow,
cdec_NML,cdec_daily,daily,NML,CDEC NML full natural flow,arcs,I_ANG017;I_BEARD;I_BVC007;I_CFS001;I_DONLL;I_LYONS;I_MFS013;I_MFS022;I_MFS047;I_MIL003;I_NFS005;I_NFS009;I_NFS033;I_PCRST;I_RLIEF;I_SFS030;I_SFS033;I_SPICE;I_STS072,900.0,,37.9481,-120.525,cdec_stations:NML,1987-06-29,1987-10-02,2018-12-31,11194,cdec15/gage.csv:flow,
cdec_ORO,cdec_daily,daily,ORO,CDEC FTO full natural flow,arcs,I_ALMNR;I_ANTLP;I_BTVLY;I_BUCKS;I_DAVIS;I_EBF001;I_FRMAN;I_GZL009;I_LGRSV;I_MFF019;I_MFF087;I_MTMDW;I_NFF029;I_OROVL;I_RVPHB;I_SFF008;I_SFF011;I_SLYCK;I_WBF006;I_WBF015;I_WBF030,3607.0,,39.522,-121.547,cdec_stations:FTO,1985-04-21,1987-10-01,2018-12-31,11049,cdec15/gage.csv:flow,outlet_below_delineation
cdec_PNF,cdec_daily,daily,PNF,CDEC KGF full natural flow,sacsma_15cdec_gis,,1545.0,,36.831,-119.335,cdec_stations:KGF,1987-05-31,1987-10-01,2018-12-31,11358,cdec15/gage.csv:flow,train_only
cdec_SCC,cdec_daily,daily,SCC,CDEC SCC full natural flow,sacsma_15cdec_gis,,393.0,,36.056667,-118.924167,cdec_stations:SCC,1988-01-01,1988-10-01,2018-12-31,10520,cdec15/gage.csv:flow,train_only
cdec_SHA,cdec_daily,daily,SHA,CDEC SIS full natural flow,arcs,I_SHSTA,6665.0,,40.718,-122.42,cdec_stations:SIS,1987-05-31,1987-10-01,2018-12-31,11379,cdec15/gage.csv:flow,
cdec_TLG,cdec_daily,daily,TLG,CDEC TLG full natural flow,arcs,I_ELENR;I_HTCHY;I_LLOYD;I_PEDRO,1538.0,,37.666,-120.441,cdec_stations:TLG,1986-04-01,1986-10-01,2018-12-31,10655,cdec15/gage.csv:flow,
cdec_TRM,cdec_daily,daily,TRM,CDEC KWT full natural flow,sacsma_15cdec_gis,,561.0,,36.414167,-119.011667,cdec_stations:KWT,1987-05-31,1987-10-01,2018-12-31,11046,cdec15/gage.csv:flow,train_only;polygon_2.6pct_above_published_area
cdec_YRS,cdec_daily,daily,YRS,CDEC YRS full natural flow,arcs,I_BOWMN;I_DER001;I_DER004;I_ENGLB;I_FRDYC;I_FRNCH;I_JKSMD;I_LCBRF;I_MFY013;I_NBLDB;I_NFY029;I_OGN005;I_SCOTF;I_SFD003;I_SFY007;I_SFY048;I_SLT009;I_SPLDG,1108.0,,39.22357,-121.293651,cdec_stations:YRS,1987-05-01,1987-10-01,2018-12-31,10608,cdec15/gage.csv:flow,
