basin,model,dp,dt,annual,freshet,maxmon,minmon,pct_annual,pct_freshet,pct_maxmon,pct_minmon
ISB,Physics (noah),-0.15,1.5,682.3151,357.313,119.0618,11.7909,-32.9041,-41.3074,-38.8514,-41.529
SHA,Physics (noah),-0.15,2.0,3300.2795,1025.6609,582.7068,73.4147,-28.6528,-35.9795,-23.8904,-33.0047
BND,Physics (noah),-0.15,2.0,4392.5359,1322.138,823.749,79.0449,-30.2566,-36.6282,-26.231,-34.1842
ORO,Physics (noah),-0.15,2.0,2653.4829,766.3776,541.0327,33.0474,-28.9649,-40.3135,-22.8535,-38.5828
YRS,Physics (noah),-0.15,2.0,1602.8739,530.1095,300.2866,26.4429,-25.8434,-39.9698,-11.5092,-35.4475
FOL,Physics (noah),-0.15,2.0,1753.1951,589.1065,350.1002,21.7447,-29.2176,-41.8286,-18.8004,-41.4097
MKM,Physics (noah),-0.15,2.0,495.5936,208.0516,92.3665,5.2642,-29.7047,-44.3571,-26.9133,-52.8635
NHG,Physics (noah),-0.15,2.0,93.655,29.9758,20.7275,0.9747,-36.7549,-37.3005,-37.4762,-36.2323
NML,Physics (noah),-0.15,2.0,751.4038,365.8503,140.9602,8.438,-29.6246,-43.727,-36.4668,-50.9897
TLG,Physics (noah),-0.15,2.0,1115.6048,609.5867,255.3764,9.2412,-30.1912,-40.6743,-24.6414,-48.5496
MRC,Physics (noah),-0.15,2.0,653.0767,330.6173,130.5485,5.7955,-30.8464,-42.582,-36.54,-45.8844
MIL,Physics (noah),-0.15,2.0,954.7087,573.7517,222.8398,9.6895,-32.0501,-40.2396,-31.4407,-51.26
PNF,Physics (noah),-0.15,2.0,819.6507,517.0409,190.7173,10.0292,-32.4667,-40.7913,-40.888,-46.3332
TRM,Physics (noah),-0.15,2.0,219.6018,103.1007,43.4166,2.5425,-34.8333,-48.2916,-37.9734,-48.754
SCC,Physics (noah),-0.15,2.0,226.3296,91.962,43.5201,4.0531,-30.5388,-38.4959,-20.3223,-37.4124
ISB,Physics (noah),-0.15,2.0,673.6709,336.9052,116.2545,11.2091,-33.7542,-44.6597,-40.2932,-44.4142
SHA,Physics (noah),-0.15,2.5,3272.7633,1003.0182,580.2479,72.1809,-29.2476,-37.3928,-24.2116,-34.1306
BND,Physics (noah),-0.15,2.5,4351.5464,1292.3282,819.1994,77.6152,-30.9074,-38.0571,-26.6385,-35.3746
ORO,Physics (noah),-0.15,2.5,2631.5233,744.7557,538.7699,32.2424,-29.5527,-41.9975,-23.1761,-40.0789
